id,probe,metric,n,mean
d0a1e653c893c382d01188ea32814c5aded728a5a777cc4fcc40a7d2ff323c88,validator__L39,silent_gap,82,30.109756097560975
d0a1e653c893c382d01188ea32814c5aded728a5a777cc4fcc40a7d2ff323c88,validator__L39,burst_start_distance,82,31.829268292682926
d0a1e653c893c382d01188ea32814c5aded728a5a777cc4fcc40a7d2ff323c88,scorefile__L39,trigger_distance,125,21.208
d0a1e653c893c382d01188ea32814c5aded728a5a777cc4fcc40a7d2ff323c88,scorefile__L39,silent_gap,85,29.71764705882353
d0a1e653c893c382d01188ea32814c5aded728a5a777cc4fcc40a7d2ff323c88,scorefile__L39,burst_start_distance,85,31.188235294117646
d0a1e653c893c382d01188ea32814c5aded728a5a777cc4fcc40a7d2ff323c88,acquire__L39,trigger_distance,102,25.598039215686274
d0a1e653c893c382d01188ea32814c5aded728a5a777cc4fcc40a7d2ff323c88,acquire__L39,silent_gap,67,37.44776119402985
d0a1e653c893c382d01188ea32814c5aded728a5a777cc4fcc40a7d2ff323c88,acquire__L39,burst_start_distance,67,38.97014925373134
d0a1e653c893c382d01188ea32814c5aded728a5a777cc4fcc40a7d2ff323c88,report__L39,trigger_distance,227,11.519823788546255
d0a1e653c893c382d01188ea32814c5aded728a5a777cc4fcc40a7d2ff323c88,report__L39,silent_gap,63,37.904761904761905
d0a1e653c893c382d01188ea32814c5aded728a5a777cc4fcc40a7d2ff323c88,report__L39,burst_start_distance,63,41.301587301587304
d0a1e653c893c382d01188ea32814c5aded728a5a777cc4fcc40a7d2ff323c88,motivated__L39,trigger_distance,174,13.89080459770115
d0a1e653c893c382d01188ea32814c5aded728a5a777cc4fcc40a7d2ff323c88,motivated__L39,silent_gap,85,26.388235294117646
d0a1e653c893c382d01188ea32814c5aded728a5a777cc4fcc40a7d2ff323c88,motivated__L39,burst_start_distance,85,28.435294117647057
c9fce5dc305b53061eb1fa956b2e5f210b5fc67424b68caa3504e17d15e25fc4,suite__L39,trigger_distance,192,19.947916666666668
c9fce5dc305b53061eb1fa956b2e5f210b5fc67424b68caa3504e17d15e25fc4,suite__L39,silent_gap,125,29.104
c9fce5dc305b53061eb1fa956b2e5f210b5fc67424b68caa3504e17d15e25fc4,suite__L39,burst_start_distance,125,30.616
c9fce5dc305b53061eb1fa956b2e5f210b5fc67424b68caa3504e17d15e25fc4,validator__L39,trigger_distance,123,30.715447154471544
c9fce5dc305b53061eb1fa956b2e5f210b5fc67424b68caa3504e17d15e25fc4,validator__L39,silent_gap,69,52.971014492753625
